# GOODBYE ADS
#
# Goodbye Ads is Specially Designed for Mobile Ad Protection.
#
# Github : https://github.com/jerryn70/GoodbyeAds
# Telegram : https://t.me/GoodbyeAds
# XDA : https://forum.xda-developers.com/android/software-hacking/goodbye-ads-advanced-protection-ads-ad-t3827269
#
# Type : GoodbyeAds YouTube AdBlock
# Updated On:03-02-2020 
# Created by:Jerryn70 (XDA Senior Member)
#
# LOCAL HOSTS
#
127.0.0.1 localhost
127.0.0.1 localhost.localdomain
127.0.0.1 local
255.255.255.255 broadcasthost
::1 localhost
::1 ip6-localhost
::1 ip6-loopback
fe80::1%lo0 localhost
ff00::0 ip6-localnet
ff00::0 ip6-mcastprefix
ff02::1 ip6-allnodes
ff02::2 ip6-allrouters
ff02::3 ip6-allhosts
0.0.0.0 0.0.0.0

# Starting..
0.0.0.0 r1.sn-25ge7nes.googlevideo.com
0.0.0.0 r1.sn-4g57kn7e.googlevideo.com
0.0.0.0 r1.sn-4g57knd7.googlevideo.com
0.0.0.0 r1.sn-4g57kner.googlevideo.com
0.0.0.0 r1.sn-4g5e6n7d.googlevideo.com
0.0.0.0 r1.sn-4g5e6nez.googlevideo.com
0.0.0.0 r1.sn-5hne6n7s.googlevideo.com
0.0.0.0 r1.sn-5uaezn6k.googlevideo.com
0.0.0.0 r1.sn-5uaeznd7.googlevideo.com
0.0.0.0 r1.sn-5uaeznk7.googlevideo.com
0.0.0.0 r1.sn-5uaeznkl.googlevideo.com
0.0.0.0 r1.sn-5uaeznks.googlevideo.com
0.0.0.0 r1.sn-5uaeznls.googlevideo.com
0.0.0.0 r1.sn-5ualdn7d.googlevideo.com
0.0.0.0 r1.sn-5ualdn7e.googlevideo.com
0.0.0.0 r1.sn-5ualdn7l.googlevideo.com
0.0.0.0 r1.sn-a5m7lnlz.googlevideo.com
0.0.0.0 r1.sn-a5mlrn7z.googlevideo.com
0.0.0.0 r1.sn-aigl6n76.googlevideo.com
0.0.0.0 r1.sn-aiglln7r.googlevideo.com
0.0.0.0 r1.sn-aigllnds.googlevideo.com
0.0.0.0 r1.sn-p5qlsn6l.googlevideo.com
0.0.0.0 r1.sn-p5qlsn6s.googlevideo.com
0.0.0.0 r1.sn-p5qlsnzd.googlevideo.com
0.0.0.0 r1.sn-p5qs7n7l.googlevideo.com
0.0.0.0 r1.sn-p5qs7n7s.googlevideo.com
0.0.0.0 r1.sn-p5qs7nee.googlevideo.com
0.0.0.0 r1.sn-q4f7snes.googlevideo.com
0.0.0.0 r1.sn-u2bpouxgoxu-hxaz.googlevideo.com
0.0.0.0 r1.sn-vgqs7n7k.googlevideo.com
0.0.0.0 r1.sn-vgqs7ne7.googlevideo.com
0.0.0.0 r1.sn-vgqs7nez.googlevideo.com
0.0.0.0 r1.sn-vgqs7nly.googlevideo.com
0.0.0.0 r1.sn-vgqs7nlz.googlevideo.com
0.0.0.0 r1.sn-vgqsen76.googlevideo.com
0.0.0.0 r1.sn-vgqsen7z.googlevideo.com
0.0.0.0 r1.sn-vgqsenes.googlevideo.com
0.0.0.0 r1.sn-vgqsenld.googlevideo.com
0.0.0.0 r2.sn-25ge7nes.googlevideo.com
0.0.0.0 r2.sn-4g57kn7e.googlevideo.com
0.0.0.0 r2.sn-4g57knd7.googlevideo.com
0.0.0.0 r2.sn-4g57kner.googlevideo.com
0.0.0.0 r2.sn-4g5e6n7d.googlevideo.com
0.0.0.0 r2.sn-4g5e6nez.googlevideo.com
0.0.0.0 r2.sn-5hne6n7s.googlevideo.com
0.0.0.0 r2.sn-5uaezn6k.googlevideo.com
0.0.0.0 r2.sn-5uaeznd7.googlevideo.com
0.0.0.0 r2.sn-5uaeznk7.googlevideo.com
0.0.0.0 r2.sn-5uaeznkl.googlevideo.com
0.0.0.0 r2.sn-5uaeznks.googlevideo.com
0.0.0.0 r2.sn-5uaeznls.googlevideo.com
0.0.0.0 r2.sn-5ualdn7d.googlevideo.com
0.0.0.0 r2.sn-5ualdn7e.googlevideo.com
0.0.0.0 r2.sn-5ualdn7l.googlevideo.com
0.0.0.0 r2.sn-a5m7lnlz.googlevideo.com
0.0.0.0 r2.sn-a5mlrn7z.googlevideo.com
0.0.0.0 r2.sn-aigl6n76.googlevideo.com
0.0.0.0 r2.sn-aiglln7r.googlevideo.com
0.0.0.0 r2.sn-aigllnds.googlevideo.com
0.0.0.0 r2.sn-p5qlsn6l.googlevideo.com
0.0.0.0 r2.sn-p5qlsn6s.googlevideo.com
0.0.0.0 r2.sn-p5qlsnzd.googlevideo.com
0.0.0.0 r2.sn-p5qs7n7l.googlevideo.com
0.0.0.0 r2.sn-p5qs7n7s.googlevideo.com
0.0.0.0 r2.sn-p5qs7nee.googlevideo.com
0.0.0.0 r2.sn-q4f7snes.googlevideo.com
0.0.0.0 r2.sn-u2bpouxgoxu-hxaz.googlevideo.com
0.0.0.0 r2.sn-vgqs7n7k.googlevideo.com
0.0.0.0 r2.sn-vgqs7ne7.googlevideo.com
0.0.0.0 r2.sn-vgqs7nez.googlevideo.com
0.0.0.0 r2.sn-vgqs7nly.googlevideo.com
0.0.0.0 r2.sn-vgqs7nlz.googlevideo.com
0.0.0.0 r2.sn-vgqsen76.googlevideo.com
0.0.0.0 r2.sn-vgqsen7z.googlevideo.com
0.0.0.0 r2.sn-vgqsenes.googlevideo.com
0.0.0.0 r2.sn-vgqsenld.googlevideo.com
0.0.0.0 r3.sn-25ge7nes.googlevideo.com
0.0.0.0 r3.sn-4g57kn7e.googlevideo.com
0.0.0.0 r3.sn-4g57knd7.googlevideo.com
0.0.0.0 r3.sn-4g57kner.googlevideo.com
0.0.0.0 r3.sn-4g5e6n7d.googlevideo.com
0.0.0.0 r3.sn-4g5e6nez.googlevideo.com
0.0.0.0 r3.sn-5hne6n7s.googlevideo.com
0.0.0.0 r3.sn-5uaezn6k.googlevideo.com
0.0.0.0 r3.sn-5uaeznd7.googlevideo.com
0.0.0.0 r3.sn-5uaeznk7.googlevideo.com
0.0.0.0 r3.sn-5uaeznkl.googlevideo.com
0.0.0.0 r3.sn-5uaeznks.googlevideo.com
0.0.0.0 r3.sn-5uaeznls.googlevideo.com
0.0.0.0 r3.sn-5ualdn7d.googlevideo.com
0.0.0.0 r3.sn-5ualdn7e.googlevideo.com
0.0.0.0 r3.sn-5ualdn7l.googlevideo.com
0.0.0.0 r3.sn-a5m7lnlz.googlevideo.com
0.0.0.0 r3.sn-a5mlrn7z.googlevideo.com
0.0.0.0 r3.sn-aigl6n76.googlevideo.com
0.0.0.0 r3.sn-aiglln7r.googlevideo.com
0.0.0.0 r3.sn-aigllnds.googlevideo.com
0.0.0.0 r3.sn-p5qlsn6l.googlevideo.com
0.0.0.0 r3.sn-p5qlsn6s.googlevideo.com
0.0.0.0 r3.sn-p5qlsnzd.googlevideo.com
0.0.0.0 r3.sn-p5qs7n7l.googlevideo.com
0.0.0.0 r3.sn-p5qs7n7s.googlevideo.com
0.0.0.0 r3.sn-p5qs7nee.googlevideo.com
0.0.0.0 r3.sn-q4f7snes.googlevideo.com
0.0.0.0 r3.sn-u2bpouxgoxu-hxaz.googlevideo.com
0.0.0.0 r3.sn-vgqs7n7k.googlevideo.com
0.0.0.0 r3.sn-vgqs7ne7.googlevideo.com
0.0.0.0 r3.sn-vgqs7nez.googlevideo.com
0.0.0.0 r3.sn-vgqs7nly.googlevideo.com
0.0.0.0 r3.sn-vgqs7nlz.googlevideo.com
0.0.0.0 r3.sn-vgqsen76.googlevideo.com
0.0.0.0 r3.sn-vgqsen7z.googlevideo.com
0.0.0.0 r3.sn-vgqsenes.googlevideo.com
0.0.0.0 r3.sn-vgqsenld.googlevideo.com
0.0.0.0 r4.sn-25ge7nes.googlevideo.com
0.0.0.0 r4.sn-4g57kn7e.googlevideo.com
0.0.0.0 r4.sn-4g57knd7.googlevideo.com
0.0.0.0 r4.sn-4g57kner.googlevideo.com
0.0.0.0 r4.sn-4g5e6n7d.googlevideo.com
0.0.0.0 r4.sn-4g5e6nez.googlevideo.com
0.0.0.0 r4.sn-5hne6n7s.googlevideo.com
0.0.0.0 r4.sn-5uaezn6k.googlevideo.com
0.0.0.0 r4.sn-5uaeznd7.googlevideo.com
0.0.0.0 r4.sn-5uaeznk7.googlevideo.com
0.0.0.0 r4.sn-5uaeznkl.googlevideo.com
0.0.0.0 r4.sn-5uaeznks.googlevideo.com
0.0.0.0 r4.sn-5uaeznls.googlevideo.com
0.0.0.0 r4.sn-5ualdn7d.googlevideo.com
0.0.0.0 r4.sn-5ualdn7e.googlevideo.com
0.0.0.0 r4.sn-5ualdn7l.googlevideo.com
0.0.0.0 r4.sn-a5m7lnlz.googlevideo.com
0.0.0.0 r4.sn-a5mlrn7z.googlevideo.com
0.0.0.0 r4.sn-aigl6n76.googlevideo.com
0.0.0.0 r4.sn-aiglln7r.googlevideo.com
0.0.0.0 r4.sn-aigllnds.googlevideo.com
0.0.0.0 r4.sn-p5qlsn6l.googlevideo.com
0.0.0.0 r4.sn-p5qlsn6s.googlevideo.com
0.0.0.0 r4.sn-p5qlsnzd.googlevideo.com
0.0.0.0 r4.sn-p5qs7n7l.googlevideo.com
0.0.0.0 r4.sn-p5qs7n7s.googlevideo.com
0.0.0.0 r4.sn-p5qs7nee.googlevideo.com
0.0.0.0 r4.sn-q4f7snes.googlevideo.com
0.0.0.0 r4.sn-u2bpouxgoxu-hxaz.googlevideo.com
0.0.0.0 r4.sn-vgqs7n7k.googlevideo.com
0.0.0.0 r4.sn-vgqs7ne7.googlevideo.com
0.0.0.0 r4.sn-vgqs7nez.googlevideo.com
0.0.0.0 r4.sn-vgqs7nly.googlevideo.com
0.0.0.0 r4.sn-vgqs7nlz.googlevideo.com
0.0.0.0 r4.sn-vgqsen76.googlevideo.com
0.0.0.0 r4.sn-vgqsen7z.googlevideo.com
0.0.0.0 r4.sn-vgqsenes.googlevideo.com
0.0.0.0 r4.sn-vgqsenld.googlevideo.com
0.0.0.0 r5.sn-25ge7nes.googlevideo.com
0.0.0.0 r5.sn-4g57kn7e.googlevideo.com
0.0.0.0 r5.sn-4g57knd7.googlevideo.com
0.0.0.0 r5.sn-4g57kner.googlevideo.com
0.0.0.0 r5.sn-4g5e6n7d.googlevideo.com
0.0.0.0 r5.sn-4g5e6nez.googlevideo.com
0.0.0.0 r5.sn-5hne6n7s.googlevideo.com
0.0.0.0 r5.sn-5uaezn6k.googlevideo.com
0.0.0.0 r5.sn-5uaeznd7.googlevideo.com
0.0.0.0 r5.sn-5uaeznk7.googlevideo.com
0.0.0.0 r5.sn-5uaeznkl.googlevideo.com
0.0.0.0 r5.sn-5uaeznks.googlevideo.com
0.0.0.0 r5.sn-5uaeznls.googlevideo.com
0.0.0.0 r5.sn-5ualdn7d.googlevideo.com
0.0.0.0 r5.sn-5ualdn7e.googlevideo.com
0.0.0.0 r5.sn-5ualdn7l.googlevideo.com
0.0.0.0 r5.sn-a5m7lnlz.googlevideo.com
0.0.0.0 r5.sn-a5mlrn7z.googlevideo.com
0.0.0.0 r5.sn-aigl6n76.googlevideo.com
0.0.0.0 r5.sn-aiglln7r.googlevideo.com
0.0.0.0 r5.sn-aigllnds.googlevideo.com
0.0.0.0 r5.sn-p5qlsn6l.googlevideo.com
0.0.0.0 r5.sn-p5qlsn6s.googlevideo.com
0.0.0.0 r5.sn-p5qlsnzd.googlevideo.com
0.0.0.0 r5.sn-p5qs7n7l.googlevideo.com
0.0.0.0 r5.sn-p5qs7n7s.googlevideo.com
0.0.0.0 r5.sn-p5qs7nee.googlevideo.com
0.0.0.0 r5.sn-q4f7snes.googlevideo.com
0.0.0.0 r5.sn-u2bpouxgoxu-hxaz.googlevideo.com
0.0.0.0 r5.sn-vgqs7n7k.googlevideo.com
0.0.0.0 r5.sn-vgqs7ne7.googlevideo.com
0.0.0.0 r5.sn-vgqs7nez.googlevideo.com
0.0.0.0 r5.sn-vgqs7nly.googlevideo.com
0.0.0.0 r5.sn-vgqs7nlz.googlevideo.com
0.0.0.0 r5.sn-vgqsen76.googlevideo.com
0.0.0.0 r5.sn-vgqsen7z.googlevideo.com
0.0.0.0 r5.sn-vgqsenes.googlevideo.com
0.0.0.0 r5.sn-vgqsenld.googlevideo.com
0.0.0.0 r6.sn-25ge7nes.googlevideo.com
0.0.0.0 r6.sn-4g57kn7e.googlevideo.com
0.0.0.0 r6.sn-4g57knd7.googlevideo.com
0.0.0.0 r6.sn-4g57kner.googlevideo.com
0.0.0.0 r6.sn-4g5e6n7d.googlevideo.com
0.0.0.0 r6.sn-4g5e6nez.googlevideo.com
0.0.0.0 r6.sn-5hne6n7s.googlevideo.com
0.0.0.0 r6.sn-5uaezn6k.googlevideo.com
0.0.0.0 r6.sn-5uaeznd7.googlevideo.com
0.0.0.0 r6.sn-5uaeznk7.googlevideo.com
0.0.0.0 r6.sn-5uaeznkl.googlevideo.com
0.0.0.0 r6.sn-5uaeznks.googlevideo.com
0.0.0.0 r6.sn-5uaeznls.googlevideo.com
0.0.0.0 r6.sn-5ualdn7d.googlevideo.com
0.0.0.0 r6.sn-5ualdn7e.googlevideo.com
0.0.0.0 r6.sn-5ualdn7l.googlevideo.com
0.0.0.0 r6.sn-a5m7lnlz.googlevideo.com
0.0.0.0 r6.sn-a5mlrn7z.googlevideo.com
0.0.0.0 r6.sn-aigl6n76.googlevideo.com
0.0.0.0 r6.sn-aiglln7r.googlevideo.com
0.0.0.0 r6.sn-aigllnds.googlevideo.com
0.0.0.0 r6.sn-p5qlsn6l.googlevideo.com
0.0.0.0 r6.sn-p5qlsn6s.googlevideo.com
0.0.0.0 r6.sn-p5qlsnzd.googlevideo.com
0.0.0.0 r6.sn-p5qs7n7l.googlevideo.com
0.0.0.0 r6.sn-p5qs7n7s.googlevideo.com
0.0.0.0 r6.sn-p5qs7nee.googlevideo.com
0.0.0.0 r6.sn-q4f7snes.googlevideo.com
0.0.0.0 r6.sn-u2bpouxgoxu-hxaz.googlevideo.com
0.0.0.0 r6.sn-vgqs7n7k.googlevideo.com
0.0.0.0 r6.sn-vgqs7ne7.googlevideo.com
0.0.0.0 r6.sn-vgqs7nez.googlevideo.com
0.0.0.0 r6.sn-vgqs7nly.googlevideo.com
0.0.0.0 r6.sn-vgqs7nlz.googlevideo.com
0.0.0.0 r6.sn-vgqsen76.googlevideo.com
0.0.0.0 r6.sn-vgqsen7z.googlevideo.com
0.0.0.0 r6.sn-vgqsenes.googlevideo.com
0.0.0.0 r6.sn-vgqsenld.googlevideo.com
0.0.0.0 r7.sn-25ge7nes.googlevideo.com
0.0.0.0 r7.sn-4g57kn7e.googlevideo.com
0.0.0.0 r7.sn-4g57knd7.googlevideo.com
0.0.0.0 r7.sn-4g57kner.googlevideo.com
0.0.0.0 r7.sn-4g5e6n7d.googlevideo.com
0.0.0.0 r7.sn-4g5e6nez.googlevideo.com
0.0.0.0 r7.sn-5hne6n7s.googlevideo.com
0.0.0.0 r7.sn-5uaezn6k.googlevideo.com
0.0.0.0 r7.sn-5uaeznd7.googlevideo.com
0.0.0.0 r7.sn-5uaeznk7.googlevideo.com
0.0.0.0 r7.sn-5uaeznkl.googlevideo.com
0.0.0.0 r7.sn-5uaeznks.googlevideo.com
0.0.0.0 r7.sn-5uaeznls.googlevideo.com
0.0.0.0 r7.sn-5ualdn7d.googlevideo.com
0.0.0.0 r7.sn-5ualdn7e.googlevideo.com
0.0.0.0 r7.sn-5ualdn7l.googlevideo.com
0.0.0.0 r7.sn-a5m7lnlz.googlevideo.com
0.0.0.0 r7.sn-a5mlrn7z.googlevideo.com
0.0.0.0 r7.sn-aigl6n76.googlevideo.com
0.0.0.0 r7.sn-aiglln7r.googlevideo.com
0.0.0.0 r7.sn-aigllnds.googlevideo.com
0.0.0.0 r7.sn-p5qlsn6l.googlevideo.com
0.0.0.0 r7.sn-p5qlsn6s.googlevideo.com
0.0.0.0 r7.sn-p5qlsnzd.googlevideo.com
0.0.0.0 r7.sn-p5qs7n7l.googlevideo.com
0.0.0.0 r7.sn-p5qs7n7s.googlevideo.com
0.0.0.0 r7.sn-p5qs7nee.googlevideo.com
0.0.0.0 r7.sn-q4f7snes.googlevideo.com
0.0.0.0 r7.sn-u2bpouxgoxu-hxaz.googlevideo.com
0.0.0.0 r7.sn-vgqs7n7k.googlevideo.com
0.0.0.0 r7.sn-vgqs7ne7.googlevideo.com
0.0.0.0 r7.sn-vgqs7nez.googlevideo.com
0.0.0.0 r7.sn-vgqs7nly.googlevideo.com
0.0.0.0 r7.sn-vgqs7nlz.googlevideo.com
0.0.0.0 r7.sn-vgqsen76.googlevideo.com
0.0.0.0 r7.sn-vgqsen7z.googlevideo.com
0.0.0.0 r7.sn-vgqsenes.googlevideo.com
0.0.0.0 r7.sn-vgqsenld.googlevideo.com
0.0.0.0 r8.sn-25ge7nes.googlevideo.com
0.0.0.0 r8.sn-4g57kn7e.googlevideo.com
0.0.0.0 r8.sn-4g57knd7.googlevideo.com
0.0.0.0 r8.sn-4g57kner.googlevideo.com
0.0.0.0 r8.sn-4g5e6n7d.googlevideo.com
0.0.0.0 r8.sn-4g5e6nez.googlevideo.com
0.0.0.0 r8.sn-5hne6n7s.googlevideo.com
0.0.0.0 r8.sn-5uaezn6k.googlevideo.com
0.0.0.0 r8.sn-5uaeznd7.googlevideo.com
0.0.0.0 r8.sn-5uaeznk7.googlevideo.com
0.0.0.0 r8.sn-5uaeznkl.googlevideo.com
0.0.0.0 r8.sn-5uaeznks.googlevideo.com
0.0.0.0 r8.sn-5uaeznls.googlevideo.com
0.0.0.0 r8.sn-5ualdn7d.googlevideo.com
0.0.0.0 r8.sn-5ualdn7e.googlevideo.com
0.0.0.0 r8.sn-5ualdn7l.googlevideo.com
0.0.0.0 r8.sn-a5m7lnlz.googlevideo.com
0.0.0.0 r8.sn-a5mlrn7z.googlevideo.com
0.0.0.0 r8.sn-aigl6n76.googlevideo.com
0.0.0.0 r8.sn-aiglln7r.googlevideo.com
0.0.0.0 r8.sn-aigllnds.googlevideo.com
0.0.0.0 r8.sn-p5qlsn6l.googlevideo.com
0.0.0.0 r8.sn-p5qlsn6s.googlevideo.com
0.0.0.0 r8.sn-p5qlsnzd.googlevideo.com
0.0.0.0 r8.sn-p5qs7n7l.googlevideo.com
0.0.0.0 r8.sn-p5qs7n7s.googlevideo.com
0.0.0.0 r8.sn-p5qs7nee.googlevideo.com
0.0.0.0 r8.sn-q4f7snes.googlevideo.com
0.0.0.0 r8.sn-u2bpouxgoxu-hxaz.googlevideo.com
0.0.0.0 r8.sn-vgqs7n7k.googlevideo.com
0.0.0.0 r8.sn-vgqs7ne7.googlevideo.com
0.0.0.0 r8.sn-vgqs7nez.googlevideo.com
0.0.0.0 r8.sn-vgqs7nly.googlevideo.com
0.0.0.0 r8.sn-vgqs7nlz.googlevideo.com
0.0.0.0 r8.sn-vgqsen76.googlevideo.com
0.0.0.0 r8.sn-vgqsen7z.googlevideo.com
0.0.0.0 r8.sn-vgqsenes.googlevideo.com
0.0.0.0 r8.sn-vgqsenld.googlevideo.com
0.0.0.0 r9.sn-25ge7nes.googlevideo.com
